country_code,id_mep,name,full_term
FRA,536,Pierre KARLESKIND,1
ITA,537,Stefania ZAMBELLI,1
HUN,538,Attila ARA-KOVÁCS,1
HUN,539,Katalin CSEH,1
FRA,540,Laurence FARRENG,1
ITA,541,Giuliano PISAPIA,1
ITA,542,Irene TINAGLI,1
ITA,543,Pierfrancesco MAJORINO,0
FRA,544,Véronique TRILLET-LENOIR,0
FIN,545,Laura HUHTASAARI,0
HUN,546,Anna Júlia DONÁTH,1
FIN,547,Teuvo HAKKARAINEN,1
FRA,548,Hélène LAPORTE,0
GBR,549,Richard TICE,0
GBR,550,Barbara Ann GIBSON,0
GBR,551,Michael HEAVER,0
GBR,552,Catherine ROWETT,0
GBR,553,June Alison MUMMERY,0
GBR,554,Lucy NETHSINGHA,0
ESP,555,Javier ZARZALEJOS,1
ITA,556,Pietro FIOCCHI,1
ITA,557,Gianantonio DA RE,1
ITA,558,Alessandra BASSO,1
ITA,559,Elena LIZZI,1
GBR,560,Annunziata Mary REES-MOGG,0
GBR,561,Gina DOWDING,0
ITA,562,Marco DREOSTO,0
FRA,563,Jérôme RIVIÈRE,1
ITA,564,Rosanna CONTE,1
ITA,565,Carlo CALENDA,0
ITA,566,Elisabetta GUALMINI,1
ITA,567,Sabrina PIGNEDOLI,1
GBR,568,Matthew PATTEN,0
ESP,569,Juan Ignacio ZOIDO ÁLVAREZ,1
FRA,570,Thierry MARIANI,1
LVA,571,Ivars IJABS,1
GBR,572,Irina VON WIESE,0
FRA,573,Hervé JUVIN,1
FRA,574,Virginie JORON,1
FRA,575,Jean-Paul GARRAUD,1
FRA,576,Maxette PIRBAKAS,1
ROU,577,Dacian CIOLOŞ,1
AUT,578,Claudia GAMON,1
PRT,579,Pedro MARQUES,1
PRT,580,Maria-Manuel LEITÃO-MARQUES,1
ROU,581,Ioan-Rareş BOGDAN,1
ROU,582,Vasile BLAGA,1
PRT,583,Margarida MARQUES,1
PRT,584,André Jorge DIONÍSIO BRADFORD,0
PRT,585,Sara CERDAS,1
GBR,586,Ben HABIB,0
AUT,587,Karoline EDTSTADLER,0
GBR,588,Christian ALLARD,0
PRT,589,Francisco GUERREIRO,1
ROU,590,Mircea-Gheorghe HAVA,1
ROU,591,Dan-Ştefan MOTREANU,1
AUT,592,Alexander BERNHUBER,1
ROU,593,Gheorghe FALCĂ,1
PRT,594,Isabel SANTOS,1
ROU,595,Carmen AVRAM,1
AUT,596,Angelika WINZIG,1
ROU,597,Claudiu MANDA,1
IRL,598,Ciarán CUFFE,1
ROU,599,Cristian TERHEŞ,1
AUT,600,Simone SCHMIEDTBAUER,0
ROU,601,Tudor CIUHODARU,1
ROU,602,Adrian-Dragoş BENEA,1
ROU,603,Cristian GHINEA,0
GRC,604,Vangelis MEIMARAKIS,1
ROU,605,Dragoş PÎSLARU,1
ROU,606,Clotilde ARMAND,0
ROU,607,Dragoş TUDORACHE,1
AUT,608,Barbara THALER,1
ROU,609,Vlad-Marius BOTOŞ,1
AUT,610,Andreas SCHIEDER,1
ROU,611,Traian BĂSESCU,1
ROU,612,Eugen TOMAC,1
AUT,613,Sarah WIENER,1
AUT,614,Günther SIDL,1
AUT,615,Bettina VOLLATH,0
ESP,616,Isabel BENJUMEA BENJUMEA,1
FRA,617,Aurélia BEIGNEUX,1
ESP,618,Sira REGO,0
AUT,619,Hannes HEIDE,1
FRA,620,Gilbert COLLARD,1
ESP,621,Pernando BARRENA ARZA,0
FRA,622,Julie LECHANTEUX,0
FRA,623,Philippe OLIVIER,1
FRA,624,André ROUGÉ,1
FRA,625,Mathilde ANDROUËT,1
GRC,626,Stelios KYMPOUROPOULOS,1
GBR,627,Dinesh DHAMIJA,0
FRA,628,Raphaël GLUCKSMANN,1
GRC,629,Anna-Michelle ASIMAKOPOULOU,1
GBR,630,Scott AINSLIE,0
FRA,631,Aurore LALUCQ,1
FRA,632,Pierre LARROUTUROU,1
GRC,633,Elena KOUNTOURA,1
GBR,634,Luisa PORRITT,0
GRC,635,Konstantinos ARVANITIS,1
ESP,636,Lina GÁLVEZ MUÑOZ,1
GBR,637,Lance FORMAN,0
GBR,638,Brian MONTEITH,0
GBR,639,John David Edward TENNANT,0
GBR,640,Claire FOX,0
NLD,641,Robert ROOS,1
GBR,642,Alexandra Louise Rosenfield PHILLIPS,0
ESP,643,Dolors MONTSERRAT,1
GBR,644,Henrik OVERGAARD NIELSEN,0
GBR,645,Ellie CHOWNS,0
GBR,646,David BULL,0
GBR,647,Jane BROPHY,0
ESP,648,Ibán GARCÍA DEL BLANCO,1
ESP,649,Nicolás GONZÁLEZ CASARES,1
ESP,650,Cristina MAESTRE MARTÍN DE ALMAGRO,1
IRL,651,Frances FITZGERALD,1
ESP,652,César LUENA,1
ESP,653,Nacho SÁNCHEZ AMOR,1
ESP,654,Mónica Silvana GONZÁLEZ,1
GBR,655,Antony HOOK,0
IRL,656,Clare DALY,1
PRT,657,Manuel PIZARRO,0
GBR,658,Robert ROWLAND,0
GRC,659,Lefteris NIKOLAOU-ALAVANOS,1
ESP,660,Adriana MALDONADO LÓPEZ,0
GBR,661,Belinda DE LUCY,0
GRC,662,Ioannis LAGOS,1
PRT,663,Lídia PEREIRA,1
GBR,664,Judith BUNTING,0
GRC,665,Athanasios KONSTANTINOU,1
ESP,666,Isabel GARCÍA MUÑOZ,1
GRC,667,Petros KOKKALIS,1
GBR,668,Ann WIDDECOMBE,0
PRT,669,Álvaro AMARO,0
